id,app_id,platforms,categories,genres,CompositeRating,header_image
459,107100,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing","Action,Indie,RPG",0.449057,https://cdn.akamai.steamstatic.com/steam/apps/107100/header.jpg?t=1670649904
679,230230,"windows,mac","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Includes level editor,Remote Play Together,Family Sharing","Adventure,Indie,RPG,Strategy",0.448544,https://cdn.akamai.steamstatic.com/steam/apps/230230/header.jpg?t=1589968473
1318,364360,"windows,mac","Yksinpeli,Moninpeli,PvP,Verkko-PvP,Lähiverkko-PvP,Yhteistyöpeli,Yhteistyöpeli verkossa,Lähiverkkoyhteistyöpeli,Steam-saavutukset,Steam-keräilykortit,Steam Workshop,Lainaamo","Toiminta,Strategia",0.448168,https://cdn.akamai.steamstatic.com/steam/apps/364360/header.jpg?t=1668768531
135,9010,"windows,mac","Single-player,Multi-player,Steam Cloud,Family Sharing",Action,0.447244,https://cdn.akamai.steamstatic.com/steam/apps/9010/header.jpg?t=1664380265
1383,387290,"windows,mac","Single-player,Steam Achievements,Full controller support,Steam Cloud,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Family Sharing",Action,0.447137,https://cdn.akamai.steamstatic.com/steam/apps/387290/header.jpg?t=1701967651
583,214700,"windows,mac","Single-player,Commentary available,Family Sharing","Adventure,Casual,Indie",0.446921,https://cdn.akamai.steamstatic.com/steam/apps/214700/header.jpg?t=1638900313
606,218230,"windows,mac","Multi-player,MMO,PvP,Online PvP,Steam Trading Cards,Steam Cloud","Action,Massively Multiplayer,Free to Play",0.446658,https://cdn.akamai.steamstatic.com/steam/apps/218230/header.jpg?t=1700252005
1364,379720,"windows,mac","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",Action,0.445926,https://cdn.akamai.steamstatic.com/steam/apps/379720/header.jpg?t=1692892793
575,212680,"windows,mac","Single-player,Steam Achievements,Steam Trading Cards,Remote Play on Phone,Remote Play on Tablet,Family Sharing","Indie,Simulation,Strategy",0.445325,https://cdn.akamai.steamstatic.com/steam/apps/212680/header.jpg?t=1689017446
777,247080,"windows,mac","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Steam Leaderboards,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Rem","Action,Indie,RPG",0.444781,https://cdn.akamai.steamstatic.com/steam/apps/247080/header.jpg?t=1713241361
